EventType,Date,StartTime,EndTime,Duration,Borough,Category,ZipCode(s)
Shooting Permit,11/22/2022,6:00:00,21:00:00,15:00:00,Brooklyn,Episodic Television series,11222
Shooting Permit,12/1/2022,6:00:00,22:00:00,16:00:00,Staten Island,Episodic Television series,10305
Shooting Permit,11/29/2022,6:00:00,21:00:00,15:00:00,Staten Island,Episodic Television series,"10302, 10303, 10305"
Shooting Permit,11/22/2022,11:00:00,1:00:00,14:00:00,Queens,Episodic Television series,"11418, 11420"
Shooting Permit,11/22/2022,6:00:00,21:00:00,15:00:00,Brooklyn,Episodic Television series,"11208, 11237"
Shooting Permit,11/28/2022,7:00:00,21:00:00,14:00:00,Bronx,Episodic Television series,10473
Shooting Permit,11/23/2022,16:00:00,2:00:00,10:00:00,Manhattan,Episodic Television series,"10011, 10012, 10014"
Shooting Permit,11/22/2022,7:00:00,22:00:00,15:00:00,Manhattan,Cable-episodic Television,"10028, 10128"
Shooting Permit,11/21/2022,5:00:00,22:00:00,17:00:00,Manhattan,Episodic Television series,"10036, 10105"
Shooting Permit,11/22/2022,6:00:00,20:00:00,14:00:00,Manhattan,Episodic Television series,"10003, 10011, 10014"
Shooting Permit,12/5/2022,7:00:00,23:00:00,16:00:00,Queens,Episodic Television series,11101
Shooting Permit,11/29/2022,7:00:00,21:00:00,14:00:00,Manhattan,Episodic Television series,10036
Shooting Permit,11/22/2022,6:00:00,23:00:00,17:00:00,Brooklyn,Episodic Television series,11234
Shooting Permit,11/21/2022,12:00:00,2:00:00,14:00:00,Brooklyn,Episodic Television series,11222
Theater Load in and Load Outs,11/18/2022,6:00:00,23:59:00,17:59:00,Manhattan,Theater,10036
Shooting Permit,12/4/2022,1:00:00,13:00:00,12:00:00,Manhattan,News,10019
Shooting Permit,11/21/2022,7:00:00,21:00:00,14:00:00,Brooklyn,Cable-episodic Television,11222
Shooting Permit,11/28/2022,7:00:00,22:00:00,15:00:00,Brooklyn,Cable-episodic Television,11222
Shooting Permit,11/23/2022,8:00:00,16:00:00,8:00:00,Manhattan,Reality Television,10019
